Rabbit_ID,UTMX,UTMY,Date
534,484525,4631475,6/25/2008
534,484682,4631378,6/26/2008
534,484580,4631541,7/3/2008
534,484698,4631353,7/10/2008
534,484690,4631376,7/16/2008
534,484692,4631349,7/28/2008
534,484659,4631384,7/31/2008
534,484652,4631410,8/5/2008
534,484679,4631359,8/6/2008
534,484686,4631361,8/12/2008
534,484708,4631486,8/18/2008
534,484707,4631492,8/26/2008
534,484691,4631494,9/2/2008
534,484709,4631484,9/9/2008
534,484688,4631499,9/15/2008
534,484729,4631378,9/23/2008
534,484674,4631368,10/4/2008
534,484655,4631389,10/9/2008
534,484730,4631377,10/15/2008
534,484740,4631350,10/20/2008
534,484682,4631370,10/29/2008
534,484687,4631361,11/7/2008
534,484708,4631340,11/17/2008
534,484693,4631369,11/25/2008
534,484671,4631342,12/3/2008
534,484710,4631344,12/12/2008
534,484740,4631426,1/9/2009
534,484797,4631577,1/16/2009
502,483835,4627606,5/28/2008
502,484004,4627734,5/30/2008
502,483929,4627988,6/4/2008
502,484076,4627598,6/10/2008
502,483987,4627405,6/17/2008
502,483901,4628073,6/26/2008
502,483977,4627564,7/3/2008
502,484059,4627559,7/11/2008
502,484048,4627556,7/17/2008
502,484060,4627533,7/28/2008
502,484125,4627606,7/31/2008
502,484140,4627591,8/5/2008
502,484140,4627590,8/6/2008
502,484090,4627569,8/12/2008
502,484136,4627586,8/18/2008
502,484154,4627598,8/26/2008
502,484129,4627588,9/2/2008
502,484131,4627600,9/8/2008
502,484128,4627563,9/16/2008
502,484051,4627524,9/23/2008
502,483923,4627332,10/5/2008
502,484057,4627538,10/9/2008
502,483931,4627333,10/20/2008
502,484126,4627598,10/29/2008
502,484026,4627358,11/7/2008
502,483993,4627380,11/17/2008
502,483930,4627374,11/25/2008
502,484087,4627571,12/3/2008
502,483914,4627333,12/12/2008
502,483925,4627334,12/18/2008
502,483916,4627350,1/9/2009
502,484079,4627592,1/29/2009
502,484058,4627553,2/8/2009
502,483919,4627418,2/13/2009
502,483950,4627340,2/20/2009
595,487067,4633081,5/19/2008
595,487062,4633036,5/21/2008
595,487274,4632661,5/30/2008
595,487084,4633051,6/4/2008
595,486993,4632719,6/11/2008
595,487076,4632453,6/19/2008
595,486987,4632671,6/26/2008
595,486984,4632648,7/3/2008
595,487001,4632651,7/10/2008
595,486890,4632717,7/16/2008
595,486891,4632735,7/28/2008
595,486940,4632746,7/31/2008
595,486940,4632716,8/5/2008
595,486882,4632712,8/6/2008
595,486943,4632749,8/12/2008
595,486940,4632736,8/18/2008
595,486878,4632693,8/26/2008
595,486942,4632732,9/2/2008
595,486877,4632697,9/9/2008
595,486894,4632694,9/15/2008
595,486881,4632692,9/23/2008
595,486876,4632594,10/4/2008
595,486940,4633081,10/9/2008
595,486950,4633095,10/15/2008
595,486973,4633102,10/29/2008
595,486929,4632920,11/7/2008
595,486941,4633078,11/17/2008
595,486937,4633128,11/25/2008
595,486951,4633096,12/3/2008
595,486936,4633183,12/12/2008
595,486908,4632959,12/18/2008
595,486903,4632958,1/9/2009
595,486926,4632915,1/16/2009
595,486912,4632926,1/29/2009
595,486908,4632958,2/8/2009
595,486907,4632958,2/13/2009
595,486907,4632958,2/20/2009
595,486906,4632958,2/27/2009
595,486908,4632965,3/6/2009
595,486895,4632975,3/12/2009
595,486968,4633057,3/20/2009
595,486903,4632959,3/27/2009
595,486878,4632998,4/5/2009
595,487064,4633099,4/11/2009
595,487044,4633037,4/20/2009
595,487015,4633020,4/20/2009
521,485012,4626989,6/18/2008
521,485025,4626930,6/19/2008
521,485033,4626937,6/26/2008
521,485020,4626933,7/3/2008
521,484997,4626919,7/11/2008
521,485020,4626875,7/17/2008
521,485024,4626871,7/28/2008
521,485057,4626865,7/31/2008
521,485055,4626868,8/5/2008
521,485051,4626874,8/6/2008
521,485053,4626873,8/12/2008
521,485052,4626872,8/18/2008
521,485002,4626955,8/26/2008
521,484998,4626917,9/2/2008
521,485053,4626865,9/8/2008
521,485051,4626873,9/16/2008
521,485051,4626875,9/23/2008
521,485055,4626858,10/9/2008
521,484993,4626920,10/13/2008
521,484989,4627000,10/15/2008
521,485059,4626878,10/20/2008
561,487556,4633380,2/22/2008
561,487505,4633335,3/2/2008
561,487391,4633510,3/13/2008
561,487404,4633510,3/17/2008
561,487404,4633513,3/17/2008
561,487397,4633506,3/17/2008
561,487393,4633523,3/28/2008
561,487394,4633497,4/1/2008
561,487393,4633503,4/12/2008
561,487534,4633358,4/29/2008
561,487534,4633402,5/7/2008
561,487555,4633388,5/15/2008
561,487548,4633389,5/21/2008
561,487508,4633419,5/30/2008
561,487537,4633399,6/4/2008
561,487552,4633377,6/11/2008
561,487502,4633451,6/19/2008
561,487536,4633387,6/24/2008
561,487541,4633391,6/26/2008
561,487522,4633406,7/3/2008
561,487555,4633376,7/10/2008
561,487542,4633391,7/16/2008
561,487559,4633357,7/28/2008
561,487555,4633364,7/31/2008
561,487546,4633392,8/5/2008
561,487552,4633345,8/6/2008
561,487524,4633397,8/12/2008
561,487544,4633405,8/18/2008
561,487541,4633388,8/26/2008
561,487508,4633419,9/2/2008
561,487505,4633430,9/9/2008
561,487537,4633439,9/15/2008
561,487498,4633413,9/23/2008
561,487563,4633393,10/4/2008
561,487500,4633419,10/9/2008
561,487544,4633442,10/15/2008
561,487521,4633427,10/29/2008
561,487543,4633402,11/7/2008
561,487516,4633464,11/17/2008
561,487537,4633398,11/25/2008
561,487528,4633439,12/3/2008
561,487540,4633403,12/12/2008
561,487545,4633404,12/18/2008
561,487551,4633383,1/9/2009
561,487533,4633396,1/16/2009
561,487544,4633399,1/29/2009
561,487554,4633380,2/8/2009
561,487537,4633401,2/13/2009
561,487551,4633386,2/20/2009
561,487439,4633497,2/27/2009
561,487560,4633378,3/6/2009
561,487560,4633390,3/12/2009
561,487498,4633420,3/20/2009
561,487566,4633387,3/27/2009
561,487505,4633418,4/5/2009
561,487549,4633362,4/11/2009
561,487565,4633381,4/20/2009
561,487527,4633492,4/20/2009
522,482902,4627725,6/16/2008
522,482790,4627750,6/19/2008
522,483065,4627741,6/26/2008
522,482965,4627715,7/3/2008
522,482901,4627698,7/11/2008
522,482878,4627673,7/17/2008
522,482907,4627704,7/28/2008
522,482890,4627626,7/31/2008
522,482925,4627688,8/5/2008
522,482886,4627678,8/6/2008
522,482962,4627718,8/12/2008
522,482918,4627685,8/18/2008
522,482912,4627679,8/26/2008
522,482920,4627740,9/2/2008
